Density,U,T,SxSx(1),SxSx(1) error,SzSz(1),SzSz(1) error,Doublon,Doublon error,nn(1),nn(1) error,pp(1),pp(1) error,Singles,Singles error,Energy,Energy error,Partition Function,Partition Function error,Free Energy,Free Energy error,Entropy,Entropy error
0.5555555555555556,-4.0,0.7000000000000001,-0.009714122861108504,0.0031295341485396903,0.06789735159808508,0.01617606458083457,0.09273528104028507,0.018623244294296928,0.2489221515751529,0.05053466415738385,0.10652084547096546,0.02344294791371273,0.37008499347498564,0.07810886817460674,0.05311696482765636,0.15419669857042131,91855303.53956805,13455264.935199074,-0.26108939445531254,0.01139314297317884,0.3814161134802332,0.02939326065216982
0.5555555555555556,-4.0,0.7500000000000002,-0.009355672788158603,0.0028299208722278608,0.06785119214682135,0.014485782346931335,0.09297390727947262,0.01666909078181825,0.2485019234688755,0.04518914780226816,0.10624318475127716,0.021012310715728937,0.3696077409966104,0.07000074082500565,0.19324983772873164,0.14135096991132484,35852986.579346694,4703941.782163114,-0.2807047429416139,0.010933402929936215,0.4029025961782602,0.025515386558226976
0.5555555555555556,-4.0,0.8,-0.009028148009682517,0.002570590720927744,0.0678893776827373,0.01301016628413344,0.09317155930676671,0.014946269618895778,0.24817839547474138,0.04049382404314287,0.10608082555806694,0.0188758722226374,0.36921243694202205,0.06285074722147291,0.33125275295197987,0.13215295835806753,15924206.052323468,1874679.0879239985,-0.3013514419726788,0.01046445522001306,0.4226966292647346,0.02253867349795298
0.5555555555555556,-4.0,0.8500000000000001,-0.008727260727290433,0.002345655060726128,0.06799346664146746,0.011722522952232466,0.09332669444163978,0.013430483425073097,0.24794205101671404,0.036374991203328724,0.1060255513676689,0.01700032483575256,0.36890216667227627,0.056556708445970015,0.46679192010726983,0.12549614896159977,7860114.26836517,832105.8535271798,-0.3229488714938621,0.009998299308654998,0.4409584004643174,0.020186040832605008
0.5555555555555556,-4.0,0.9000000000000001,-0.008449093335224285,0.0021499318614520294,0.06814765251164213,0.010598094706575405,0.09343880023937555,0.012097791283162412,0.24778284741149548,0.03276197365883086,0.10606910385407912,0.015353736373247178,0.36867795507680434,0.05101840898296219,0.5997092673413872,0.12052332534645105,4233339.223306102,403988.19735438196,-0.34542433624208374,0.009543015006458194,0.4578429992000173,0.018270967590259955
0.5555555555555556,-4.0,0.9500000000000001,-0.008190183681914117,0.0019789809374010626,0.06833868998238167,0.00961472533043065,0.09350815761293957,0.010925826778973486,0.2476909494367132,0.02959007244016398,0.10620344942655925,0.013906888076650206,0.3685392403296765,0.04614265037843149,0.729953831543556,0.11662157959258768,2452282.4896944314,211502.2859337136,-0.36871260743063006,0.009103861968114836,0.47349325127710257,0.016669804710495586
0.5555555555555556,-4.0,1.0,-0.007947547850043169,0.0018290564077541116,0.06855566817362668,0.008753007328277888,0.09353565068760368,0.009894344813165526,0.24765714010616094,0.02680166627607676,0.10642091984084384,0.01263377055690309,0.3684842541803483,0.04184543896824884,0.8575362032616363,0.11337898990032858,1510489.3640104486,118055.19612364515,-0.39275522865044643,0.008684102203084172,0.48803702901285045,0.015300810705456556
0.5555555555555556,-4.0,1.05,-0.007718664979370388,0.001697024564654706,0.06878972353518945,0.007996158112123949,0.09352261772527178,0.008985372879894891,0.24767302171223343,0.02434627922208098,0.1067142724049646,0.01151161085558303,0.36851032010501206,0.03805251001667781,0.9824994056906531,0.11053201104998005,980213.8412052066,69614.20707082862,-0.4174997549082972,0.008285597642256117,0.5015870052767544,0.014109462156664166
0.5555555555555556,-4.0,1.4925373134328357,-0.0060590431493687605,0.0010039531382270734,0.07084791098857307,0.004133533979445875,0.09195502325858329,0.004335281237948619,0.24904223376983153,0.011789824942353533,0.11166759817949934,0.005752266232320589,0.3716455090383889,0.018489681551460736,1.98316240210027,0.09012196959085213,87394.4151402377,2996.414449057622,-0.6608689019974642,0.0056859219011133055,0.5904175876057657,0.007715216118130348
0.5555555555555556,-4.0,1.6556291390728475,-0.005552364648437858,0.0008697057464485797,0.07142812345143178,0.0034281249277747917,0.09090985064384528,0.0034980716115506935,0.2497849033285267,0.009532499168745752,0.11414578678790778,0.004714298255211968,0.373735854267865,0.014930076422750283,2.3079563281893223,0.08371330362257598,52028.48368784617,1436.8392725006809,-0.759087459577615,0.005080279106748133,0.6133783391655852,0.006401452109691903
0.5555555555555556,-4.0,1.858736059479554,-0.004980520512950447,0.0007487959953301164,0.07198891267685173,0.0028100653892140113,0.0894181413740001,0.0027758802335122604,0.2507336680549267,0.007595288774831258,0.11743648926886481,0.0038257409908108698,0.37671927280755524,0.011861288719712539,2.681826000800676,0.07668025862392457,31695.051071292834,692.8319308763946,-0.8861562679663302,0.004514520755173781,0.6370656708804151,0.00518749708495824
0.5555555555555556,-4.0,2.11864406779661,-0.004337734110998359,0.0006432076369691028,0.07248233069697117,0.00228028467576085,0.08735265289664357,0.0021698528036364793,0.25190824684333246,0.005987985969237179,0.1217451971476978,0.003093285741220802,0.38085024976226833,0.009310344305094835,3.1136530544130934,0.06915687936067197,19827.44609673665,338.1042809962102,-1.0550082963235978,0.004014203486388252,0.6612577204961805,0.004091975606045262
0.5555555555555556,-4.0,2.463054187192118,-0.003626940237538339,0.0005556584390666548,0.0728478725044343,0.0018351209678259973,0.08457345482340235,0.0016725076249206237,0.25332211685879175,0.004692718557509067,0.12729484236257763,0.0025089607133109205,0.3864086459087506,0.007266386067978302,3.6126260458610284,0.06128535207934261,12789.705750035288,168.3729995326028,-1.2871507136004834,0.003602826537165378,0.6855527646795271,0.003127766279124796
0.5555555555555556,-4.0,2.941176470588235,-0.002866530536006172,0.0004899840833868137,0.07301538460710298,0.0014663616285619816,0.08094582158738714,0.0012679245067997603,0.25497658091555975,0.003656597108730809,0.13429520652133164,0.002044442890490889,0.39366391238078136,0.0056622845260271394,4.1869557459749975,0.05313004852389383,8547.11505365186,86.11437027564413,-1.6209810143157513,0.003292567245651846,0.7093074286041887,0.0022982191080474783
0.5555555555555556,-4.0,3.64963503649635,-0.002097724119692217,0.0004511472327925727,0.0729124937584085,0.0011632679539239504,0.07637145514640858,0.0009368108206131627,0.25685279020269547,0.0028005262012105207,0.1428899160869485,0.0016552465234303052,0.40281264526273824,0.0043754374110597655,4.841799450912359,0.04461385568129293,5948.233609491337,45.10903024352213,-2.1320772106853245,0.003075263983065055,0.7315950501222218,0.001598386465996624
0.5555555555555556,-4.0,4.8076923076923075,-0.00138957081273823,0.0004437727361204063,0.07247724819007095,0.0009164965407513756,0.07083115528475584,0.0006657950422644081,0.25890323861165454,0.0020477908515234805,0.15308428886561876,0.0012994055225380823,0.41389324498604374,0.003265006113730602,5.576545572161562,0.035595856005323036,4333.933123240652,23.715932096795985,-2.9920318219513624,0.002923157045914777,0.7512227833002839,0.001022963041628437
0.5555555555555556,-4.0,7.04225352112676,-0.0008370343257189935,0.0004691228681275471,0.07167421047763389,0.0007223855751137578,0.06442769065595079,0.00045683155724468767,0.2610463537179305,0.0013557253138913974,0.1646733173132757,0.0009652681603239201,0.42670017424365414,0.0022286174757549207,6.38217103232674,0.026311427500542252,3322.65783274407,11.90708847405131,-4.69121526847502,0.002804071651662756,0.7668490444112748,0.0005752248583928885
0.5555555555555556,-4.0,13.157894736842113,-0.0005482587173784488,0.0005236248800614677,0.07050869878275641,0.0005857992396993062,0.0574076705182954,0.0003316603523748134,0.2631692108482239,0.0007365452507253632,0.17720613665516802,0.0007103264614342431,0.44074021451896483,0.0012474532374097422,7.239969285587945,0.01908601016233053,2691.439548696305,4.9755250691323525,-9.42205306594948,0.0027027021510920954,0.7772135514237916,0.0002610888255042057
0.5555555555555556,-4.0,100.0,-0.0006217095840179022,0.0006010759436544086,0.06903174606656624,0.0005196614154733785,0.05014063313335979,0.00030771133761759036,0.26514175030283477,0.00038271343573854184,0.1900242985826192,0.0006941137531620452,0.4552742892888361,0.000607396478732546,8.122964458135158,0.02193899189521725,2309.4243697641905,0.5474797077256515,-77.24007112582768,0.002634036404595263,0.7814262273228714,3.5889221457313474e-05
